Zip,Multiple Counties,County,Rate
43001,,Licking,0.0725
43002,,Franklin,0.08
43003,*,Delaware,0.07
43003,*,Morrow,0.0725
43004,*,Franklin,0.08
43004,*,Licking,0.0725
43005,,Knox,0.0725
43006,*,Coshocton,0.0775
43006,*,Holmes,0.07
43006,*,Knox,0.0725
43007,,Union,0.07
43008,,Licking,0.0725
43009,,Champaign,0.0725
43010,,Clark,0.0725
43011,*,Delaware,0.07
43011,*,Knox,0.0725
43011,*,Licking,0.0725
43011,*,Morrow,0.0725
43013,*,Delaware,0.07
43013,*,Licking,0.0725
43014,*,Coshocton,0.0775
43014,*,Knox,0.0725
43015,*,Delaware,0.07
43015,*,Union,0.07
43016,*,Delaware,0.07
43016,*,Franklin,0.08
43016,*,Union,0.07
43016,*,Union (COTA),0.08
43017,*,Delaware,0.07
43017,*,Delaware (COTA),0.08
43017,*,Franklin,0.08
43017,*,Union,0.07
43017,*,Union (COTA),0.08
43018,,Licking,0.0725
43019,*,Knox,0.0725
43019,*,Morrow,0.0725
43019,*,Richland,0.07
43021,,Delaware,0.07
43022,,Knox,0.0725
43023,,Licking,0.0725
43025,*,Fairfield,0.0675
43025,*,Licking,0.0725
43026,*,Franklin,0.08
43026,*,Madison,0.07
43027,,Licking,0.0725
43028,*,Coshocton,0.0775
43028,*,Knox,0.0725
43029,*,Madison,0.07
43029,*,Union,0.07
43030,,Licking,0.0725
43031,*,Delaware,0.07
43031,*,Licking,0.0725
43033,,Licking,0.0725
43035,*,Delaware,0.07
43035,*,Delaware (COTA),0.08
43036,,Union,0.07
43037,,Knox,0.0725
43040,*,Delaware,0.07
43040,*,Union,0.07
43044,*,Champaign,0.0725
43044,*,Clark,0.0725
43044,*,Madison,0.07
43045,*,Champaign,0.0725
43045,*,Union,0.07
43046,*,Fairfield,0.0675
43046,*,Licking,0.0725
43047,,Champaign,0.0725
43048,,Knox,0.0725
43050,*,Knox,0.0725
43050,*,Licking,0.0725
43050,*,Morrow,0.0725
43054,*,Delaware,0.07
43054,*,Franklin,0.08
43054,*,Licking,0.0725
43055,,Licking,0.0725
43056,*,Licking,0.0725
43056,*,Muskingum,0.0725
43058,,Licking,0.0725
43060,*,Champaign,0.0725
43060,*,Logan,0.0725
43060,*,Union,0.07
43061,*,Delaware,0.07
43061,*,Union,0.07
43062,*,Fairfield,0.0675
43062,*,Franklin,0.08
43062,*,Licking,0.0725
43064,*,Delaware,0.07
43064,*,Franklin,0.08
43064,*,Madison,0.07
43064,*,Union,0.07
43064,*,Union (COTA),0.08
43065,*,Delaware,0.07
43065,*,Delaware (COTA),0.08
43065,*,Franklin,0.08
43066,,Delaware,0.07
43067,,Union,0.07
43068,*,Fairfield,0.0675
43068,*,Fairfield (COTA),0.0775
43068,*,Franklin,0.08
43068,*,Licking,0.0725
43068,*,Licking (COTA),0.0825
43070,,Champaign,0.0725
43071,*,Knox,0.0725
43071,*,Licking,0.0725
43072,*,Champaign,0.0725
43072,*,Miami,0.07
43073,,Licking,0.0725
43074,*,Delaware,0.07
43074,*,Licking,0.0725
43076,*,Fairfield,0.0675
43076,*,Licking,0.0725
43076,*,Perry,0.0725
43077,,Union,0.07
43078,*,Champaign,0.0725
43078,*,Clark,0.0725
43080,*,Knox,0.0725
43080,*,Licking,0.0725
43081,*,Delaware,0.07
43081,*,Delaware (COTA),0.08
43081,*,Franklin,0.08
43082,*,Delaware,0.07
43082,*,Delaware (COTA),0.08
43082,*,Franklin,0.08
43083,,Champaign,0.0725
43084,*,Champaign,0.0725
43084,*,Union,0.07
43085,,Franklin,0.08
43086,*,Delaware (COTA),0.08
43086,*,Franklin,0.08
43101,*,Pickaway,0.0725
43101,*,Ross,0.0725
43102,*,Fairfield,0.0675
43102,*,Hocking,0.0725
43102,*,Pickaway,0.0725
43103,*,Fairfield,0.0675
43103,*,Pickaway,0.0725
43105,*,Fairfield,0.0675
43105,*,Licking,0.0725
43106,,Fayette,0.0725
43107,*,Fairfield,0.0675
43107,*,Hocking,0.0725
43107,*,Perry,0.0725
43109,,Franklin,0.08
43110,*,Fairfield,0.0675
43110,*,Fairfield (COTA),0.0775
43110,*,Franklin,0.08
43110,*,Pickaway,0.0725
43111,,Hocking,0.0725
43112,,Fairfield,0.0675
43113,*,Fairfield,0.0675
43113,*,Pickaway,0.0725
43115,*,Pickaway,0.0725
43115,*,Ross,0.0725
43116,,Pickaway,0.0725
43117,,Pickaway,0.0725
43119,*,Franklin,0.08
43119,*,Madison,0.07
43123,*,Franklin,0.08
43123,*,Madison,0.07
43125,*,Franklin,0.08
43125,*,Pickaway,0.0725
43126,*,Franklin,0.08
43126,*,Pickaway,0.0725
43127,,Hocking,0.0725
43128,*,Fayette,0.0725
43128,*,Greene,0.0675
43130,*,Fairfield,0.0675
43130,*,Hocking,0.0725
43135,*,Hocking,0.0725
43135,*,Pickaway,0.0725
43135,*,Ross,0.0725
43135,*,Vinton,0.0725
43136,,Fairfield,0.0675
43137,*,Franklin,0.08
43137,*,Pickaway,0.0725
43138,*,Hocking,0.0725
43138,*,Perry,0.0725
43138,*,Vinton,0.0725
43140,*,Clark,0.0725
43140,*,Franklin,0.08
43140,*,Madison,0.07
43142,,Fayette,0.0725
43143,*,Fayette,0.0725
43143,*,Madison,0.07
43143,*,Pickaway,0.0725
43144,*,Athens,0.0725
43144,*,Hocking,0.0725
43145,*,Fayette,0.0725
43145,*,Pickaway,0.0725
43146,*,Franklin,0.08
43146,*,Madison,0.07
43146,*,Pickaway,0.0725
43147,*,Fairfield,0.0675
43147,*,Fairfield (COTA),0.0775
43147,*,Franklin,0.08
43147,*,Licking,0.0725
43148,*,Fairfield,0.0675
43148,*,Perry,0.0725
43149,,Hocking,0.0725
43150,*,Fairfield,0.0675
43150,*,Perry,0.0725
43151,,Madison,0.07
43152,*,Hocking,0.0725
43152,*,Vinton,0.0725
43153,*,Clark,0.0725
43153,*,Fayette,0.0725
43153,*,Greene,0.0675
43153,*,Madison,0.07
43154,*,Fairfield,0.0675
43154,*,Pickaway,0.0725
43155,*,Fairfield,0.0675
43155,*,Hocking,0.0725
43156,*,Fairfield,0.0675
43156,*,Pickaway,0.0725
43157,,Fairfield,0.0675
43158,,Hocking,0.0725
43160,*,Clinton,0.0725
43160,*,Fayette,0.0725
43160,*,Ross,0.0725
43162,,Madison,0.07
43164,*,Pickaway,0.0725
43164,*,Ross,0.0725
43194,,Franklin,0.08
43195,,Franklin,0.08
43201,,Franklin,0.08
43202,,Franklin,0.08
43203,,Franklin,0.08
43204,,Franklin,0.08
43205,,Franklin,0.08
43206,,Franklin,0.08
43207,,Franklin,0.08
43209,,Franklin,0.08
43210,,Franklin,0.08
43211,,Franklin,0.08
43212,,Franklin,0.08
43213,,Franklin,0.08
43214,,Franklin,0.08
43215,,Franklin,0.08
43216,,Franklin,0.08
43217,*,Franklin,0.08
43217,*,Pickaway,0.0725
43218,,Franklin,0.08
43219,,Franklin,0.08
43220,,Franklin,0.08
43221,,Franklin,0.08
43222,,Franklin,0.08
43223,,Franklin,0.08
43224,,Franklin,0.08
43226,,Franklin,0.08
43227,,Franklin,0.08
43228,,Franklin,0.08
